Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-58.0	30.0	7.621087640537862	8544
PositiveTail 1a	-2.0	-52.0	22.0	6.4697742543434416	
PositiveTail 1b	8.0	-56.0	28.0	5.139372626796281	
PositiveTail 1c	6.0	-50.0	34.0	4.0109284393201134	
PositiveTail 2	-48.0	-62.0	24.0	5.937206717812744	15800
PositiveTail 2a	-48.0	-70.0	8.0	5.6939910598930235	
PositiveTail 2b	-48.0	-60.0	18.0	5.6939910598930235	
PositiveTail 2c	-46.0	-70.0	12.0	5.6939910598930235	
PositiveTail 3	0.0	16.0	52.0	5.6939910598930235	12432
PositiveTail 3a	-4.0	8.0	54.0	5.405644304955287	
PositiveTail 3b	2.0	12.0	62.0	4.5911166770779275	
PositiveTail 3c	-2.0	28.0	44.0	4.302835695862951	
PositiveTail 4	-42.0	20.0	-8.0	5.405644304955287	7320
PositiveTail 4a	-36.0	18.0	0.0	4.5911166770779275	
PositiveTail 4b	-44.0	24.0	-10.0	4.302835695862951	
PositiveTail 4c	-36.0	20.0	-8.0	4.0109284393201134	
PositiveTail 5	54.0	-44.0	12.0	5.405644304955287	22936
PositiveTail 5a	58.0	-40.0	20.0	5.139372626796281	
PositiveTail 5b	54.0	-46.0	16.0	5.139372626796281	
PositiveTail 5c	46.0	-66.0	4.0	4.868519965038592	
PositiveTail 6	-60.0	-10.0	-12.0	4.5911166770779275	4720
PositiveTail 6a	-56.0	-4.0	-18.0	4.0109284393201134	
PositiveTail 6b	-62.0	-16.0	-14.0	3.4284809058182795	
PositiveTail 6c	-60.0	-20.0	-4.0	2.796033121772491	
PositiveTail 7	48.0	16.0	32.0	4.5911166770779275	3936
PositiveTail 7a	48.0	12.0	24.0	3.4284809058182795	
PositiveTail 7b	48.0	22.0	32.0	2.796033121772491	
PositiveTail 7c	52.0	6.0	34.0	2.108272935571547	
PositiveTail 8	-2.0	54.0	-10.0	4.5911166770779275	13776
PositiveTail 8a	-6.0	56.0	12.0	4.302835695862951	
PositiveTail 8b	0.0	56.0	22.0	4.302835695862951	
PositiveTail 8c	-2.0	60.0	-10.0	4.0109284393201134	
PositiveTail 9	60.0	-4.0	-12.0	4.302835695862951	5744
PositiveTail 9a	56.0	-2.0	-22.0	3.7235042807071523	
PositiveTail 9b	62.0	-10.0	-20.0	3.7235042807071523	
PositiveTail 9c	56.0	-10.0	-14.0	3.1185643331440653	
PositiveTail 10	38.0	24.0	-6.0	4.0109284393201134	6216
PositiveTail 10a	32.0	18.0	0.0	3.4284809058182795	
PositiveTail 10b	44.0	24.0	-4.0	3.4284809058182795	
PositiveTail 10c	54.0	24.0	10.0	3.4284809058182795	
PositiveTail 11	-48.0	6.0	-28.0	3.7235042807071523	1160
PositiveTail 11a	-52.0	6.0	-36.0	1.747413572429092	
PositiveTail 12	-38.0	-42.0	48.0	3.4284809058182795	3496
PositiveTail 12a	-46.0	-46.0	46.0	3.1185643331440653	
PositiveTail 12b	-44.0	-38.0	50.0	3.1185643331440653	
PositiveTail 12c	-40.0	-50.0	46.0	2.796033121772491	
PositiveTail 13	20.0	-90.0	0.0	3.4284809058182795	3032
PositiveTail 13a	12.0	-82.0	0.0	2.796033121772491	
PositiveTail 13b	22.0	-96.0	10.0	2.457097699118128	
PositiveTail 13c	16.0	-90.0	-4.0	2.457097699118128	
PositiveTail 14	-26.0	-4.0	56.0	3.1185643331440653	632
PositiveTail 15	44.0	-32.0	58.0	3.1185643331440653	784
PositiveTail 15a	44.0	-28.0	46.0	2.457097699118128	
PositiveTail 15b	34.0	-32.0	58.0	2.108272935571547	
PositiveTail 15c	42.0	-30.0	50.0	2.108272935571547	
PositiveTail 16	-46.0	0.0	48.0	2.796033121772491	2992
PositiveTail 16a	-40.0	8.0	32.0	2.796033121772491	
PositiveTail 16b	-40.0	6.0	46.0	2.796033121772491	
PositiveTail 16c	-42.0	8.0	34.0	2.796033121772491	
PositiveTail 17	26.0	-2.0	60.0	2.796033121772491	688
PositiveTail 17a	28.0	-4.0	50.0	2.457097699118128	
PositiveTail 17b	22.0	-4.0	56.0	2.108272935571547	
PositiveTail 17c	30.0	6.0	56.0	2.108272935571547	
PositiveTail 18	-48.0	28.0	14.0	2.457097699118128	296
PositiveTail 18a	-52.0	32.0	8.0	2.108272935571547	
PositiveTail 18b	-48.0	32.0	18.0	2.108272935571547	
PositiveTail 19	-14.0	6.0	6.0	2.457097699118128	312
PositiveTail 20	-42.0	-28.0	54.0	2.457097699118128	160
PositiveTail 20a	-34.0	-28.0	56.0	1.747413572429092	
PositiveTail 21	26.0	-6.0	-20.0	2.457097699118128	672
PositiveTail 21a	28.0	2.0	-16.0	2.108272935571547	
PositiveTail 21b	30.0	-6.0	-16.0	2.108272935571547	
PositiveTail 21c	26.0	-2.0	-26.0	1.747413572429092	
PositiveTail 22	-10.0	-54.0	10.0	2.108272935571547	152
PositiveTail 23	4.0	-52.0	44.0	2.108272935571547	136
PositiveTail 24	16.0	-26.0	-2.0	2.108272935571547	80
PositiveTail 25	38.0	-42.0	-16.0	2.108272935571547	288
PositiveTail 25a	40.0	-50.0	-20.0	1.747413572429092	
PositiveTail 25b	42.0	-42.0	-12.0	1.747413572429092	
PositiveTail 26	12.0	-14.0	2.0	2.108272935571547	104
PositiveTail 27	42.0	12.0	-32.0	2.108272935571547	168
