Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-56.0	28.0	9.141412208396016	12112
PositiveTail 1a	-12.0	-52.0	10.0	3.0724165183979038	
PositiveTail 1b	4.0	-58.0	52.0	3.0724165183979038	
PositiveTail 1c	2.0	-52.0	44.0	3.0724165183979038	
PositiveTail 2	-48.0	-70.0	8.0	7.975397336614437	31040
PositiveTail 2a	-48.0	-58.0	20.0	7.780928954086437	
PositiveTail 2b	-56.0	-50.0	18.0	6.648973048866947	
PositiveTail 2c	-54.0	-46.0	8.0	5.204220935792998	
PositiveTail 3	46.0	-70.0	-4.0	7.227229987020431	54504
PositiveTail 3a	50.0	-66.0	4.0	7.038296768146773	
PositiveTail 3b	58.0	-48.0	16.0	6.648973048866947	
PositiveTail 3c	52.0	-62.0	12.0	6.238967665404474	
PositiveTail 4	38.0	24.0	-6.0	7.227229987020431	25152
PositiveTail 4a	54.0	30.0	8.0	5.6277810670456105	
PositiveTail 4b	32.0	22.0	2.0	5.6277810670456105	
PositiveTail 4c	52.0	24.0	14.0	5.4190257049762875	
PositiveTail 5	-36.0	20.0	-4.0	6.848556146454833	25120
PositiveTail 5a	-42.0	24.0	-14.0	5.8332180472255235	
PositiveTail 5b	-44.0	32.0	-4.0	5.204220935792998	
PositiveTail 5c	-32.0	18.0	-10.0	5.204220935792998	
PositiveTail 6	-4.0	56.0	12.0	6.238967665404474	36736
PositiveTail 6a	-2.0	48.0	-4.0	6.032661874108235	
PositiveTail 6b	0.0	50.0	-12.0	6.032661874108235	
PositiveTail 6c	0.0	52.0	20.0	6.032661874108235	
PositiveTail 7	-26.0	-4.0	56.0	4.535100868997794	7328
PositiveTail 7a	-48.0	4.0	32.0	3.822267122845492	
PositiveTail 7b	-40.0	12.0	30.0	3.0724165183979038	
PositiveTail 7c	-34.0	2.0	54.0	3.0724165183979038	
PositiveTail 8	-34.0	-58.0	-18.0	4.064037341008582	4856
PositiveTail 8a	-42.0	-58.0	-20.0	3.822267122845492	
PositiveTail 8b	-38.0	-52.0	-24.0	3.0724165183979038	
PositiveTail 8c	-24.0	-52.0	-14.0	3.0724165183979038	
PositiveTail 9	26.0	-2.0	-20.0	3.822267122845492	2184
PositiveTail 9a	18.0	-2.0	-16.0	2.8156919565563254	
PositiveTail 9b	28.0	-8.0	-16.0	2.8156919565563254	
PositiveTail 9c	34.0	0.0	-26.0	2.0371858516749635	
PositiveTail 10	-6.0	-90.0	2.0	3.5761167825149314	2080
PositiveTail 10a	-2.0	-84.0	-2.0	3.3245181244587205	
PositiveTail 10b	-16.0	-94.0	2.0	2.8156919565563254	
PositiveTail 10c	-2.0	-80.0	2.0	2.8156919565563254	
PositiveTail 11	-4.0	-16.0	44.0	3.3245181244587205	1736
PositiveTail 11a	-6.0	-14.0	34.0	2.5563006734530616	
PositiveTail 11b	2.0	-20.0	40.0	2.5563006734530616	
PositiveTail 11c	-8.0	-14.0	38.0	2.298451391148312	
PositiveTail 12	12.0	-20.0	6.0	2.8156919565563254	1016
PositiveTail 12a	0.0	-12.0	6.0	2.5563006734530616	
PositiveTail 12b	10.0	-12.0	8.0	2.5563006734530616	
PositiveTail 12c	18.0	-20.0	6.0	2.5563006734530616	
PositiveTail 13	-6.0	-12.0	4.0	2.8156919565563254	664
PositiveTail 14	-14.0	8.0	0.0	2.8156919565563254	832
PositiveTail 15	40.0	-32.0	46.0	2.8156919565563254	864
PositiveTail 15a	40.0	-30.0	56.0	2.5563006734530616	
PositiveTail 15b	42.0	-36.0	50.0	2.298451391148312	
PositiveTail 15c	42.0	-28.0	46.0	2.298451391148312	
PositiveTail 16	-22.0	-4.0	-18.0	2.5563006734530616	632
PositiveTail 17	26.0	-60.0	54.0	2.5563006734530616	512
PositiveTail 17a	22.0	-56.0	60.0	2.298451391148312	
PositiveTail 18	-4.0	16.0	-4.0	2.5563006734530616	328
PositiveTail 19	8.0	-90.0	28.0	2.298451391148312	232
PositiveTail 20	14.0	16.0	-2.0	2.0371858516749635	128
PositiveTail 21	12.0	-24.0	-8.0	2.0371858516749635	80
PositiveTail 22	-30.0	-66.0	42.0	2.0371858516749635	128
