Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	2.0	56.0	-4.0	3.6682984626451693	3288
PositiveTail 1a	-8.0	56.0	0.0	3.0250087368688603	
PositiveTail 1b	-2.0	60.0	-12.0	3.0250087368688603	
PositiveTail 1c	6.0	58.0	-4.0	2.5228329647289027	
PositiveTail 2	50.0	-68.0	6.0	3.6682984626451693	3008
PositiveTail 2a	42.0	-68.0	4.0	3.3882430527548357	
PositiveTail 2b	50.0	-68.0	0.0	3.3882430527548357	
PositiveTail 2c	42.0	-66.0	8.0	3.0250087368688603	
PositiveTail 3	-2.0	-58.0	28.0	3.0250087368688603	528
PositiveTail 4	8.0	36.0	10.0	3.0250087368688603	1520
PositiveTail 4a	-2.0	36.0	2.0	3.0250087368688603	
PositiveTail 4b	4.0	36.0	10.0	3.0250087368688603	
PositiveTail 4c	2.0	40.0	0.0	3.0250087368688603	
PositiveTail 5	34.0	26.0	-16.0	3.0250087368688603	824
PositiveTail 5a	36.0	22.0	-6.0	3.0250087368688603	
PositiveTail 5b	34.0	22.0	-14.0	2.5228329647289027	
PositiveTail 5c	40.0	24.0	-4.0	2.5228329647289027	
PositiveTail 6	-44.0	-78.0	4.0	2.5228329647289027	448
PositiveTail 6a	-48.0	-74.0	10.0	2.021509336923794	
PositiveTail 6b	-36.0	-76.0	6.0	2.021509336923794	
PositiveTail 7	-6.0	42.0	-8.0	2.5228329647289027	256
PositiveTail 8	-4.0	-6.0	44.0	2.5228329647289027	728
PositiveTail 8a	2.0	-14.0	44.0	2.021509336923794	
PositiveTail 9	46.0	26.0	-4.0	2.5228329647289027	120
PositiveTail 10	46.0	26.0	2.0	2.5228329647289027	872
PositiveTail 10a	54.0	28.0	0.0	2.5228329647289027	
PositiveTail 11	0.0	-16.0	-2.0	2.021509336923794	88
PositiveTail 12	36.0	-16.0	-8.0	2.021509336923794	160
PositiveTail 13	62.0	-42.0	18.0	2.021509336923794	104
